,Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon
5891,,JILONGIA BRIDGE,,,1.073,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,D,21.4354894882666,91.9989625029333
5892,,JILONGIA CULVERT,,,1.445,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,A,21.4366292724264,91.9968286150735
5893,,ALIR JAHAL,,,1.604,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,C,21.4377171948529,91.995838080147
5894,,Alirjahal( 2),,,1.721,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,A,21.4384212368286,91.9950242076726
5895,,Romaliachara,,,2.125,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,C,21.4397162486238,91.9912399513761
5896,,Barmiss Market,,,2.63,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,B,21.4409774513761,91.9867871486238
5897,R180-2,Khuruskul (int with Z1132) - laboni point (road end),LRP002,582,2.687,LRP004,1870,6.105,3.418,0.0,259.0,272.0,20.0,36.0,293.0,93.0,262.0,4131.0,731.0,513.0,6405.0,10.0,6097.0,6928.0,13025.0,13025.0,road,['Z1132'],R180,,21.4413052,91.9859997
5898,,Barmiss Market,,,3.166,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,B,21.44208502,91.9820870769697
5899,,Bazar Ghata,,,3.33,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,A,21.4424163,91.9828049
5900,,Barmiss Market,,,3.531,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,A,21.4421610054878,91.9796898289634
5901,,Main Road Bazar,,,3.641,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,A,21.442282563317,91.9782581319512
5902,,Air Port Road More,,,4.228,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,C,21.4434304118572,91.9711397865718
5903,,South Kotobdia,,,5.004,,,,,,,,,,,,,,,,,,,,,,bridge,,R180,B,21.4392030605309,91.9698711440708
5904,R201-1,"Tarabo (road start, int with N2) - Demra, Int.with R110",LRPS,0,0.0,LRPS,2195,2.195,2.195,60.0,2672.0,1569.0,1833.0,856.0,2184.0,287.0,2190.0,3340.0,1178.0,217.0,1290.0,0.0,16169.0,1507.0,17676.0,17676.0,road,"['N2', 'R110']",R201,,23.7249993,90.5135278
5905,,TARABO CULVERT,,,0.264,,,,,,,,,,,,,,,,,,,,,,bridge,,R201,D,23.7241078761467,90.5111562201835
5906,R202-1,"Bhulta (road start, int with N2) - Rupganj (int with Z2063)",LRPS,0,0.0,LRPS,4000,4,4.000,0.0,204.0,155.0,0.0,127.0,196.0,53.0,120.0,2110.0,409.0,249.0,429.0,0.0,3374.0,678.0,4052.0,4052.0,road,"['N2', 'Z2063']",R202,,23.7849163,90.5650833
5907,,GAUSIYA SWICE GET,,,0.327,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7855039977164,90.561228713606
5908,,KUSHABO SWISGET BOX CULVERT,,,2.655,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7873275868,90.5392363088
5909,,KALADI BOX CULVERT,,,3.867,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7884325456,90.5386116967999
5910,R202-2,Rupganj (int with Z2063) - bank of Bahe River,LRPS,4000,4.0,LRP008,2082,9.846,5.846,0.0,204.0,155.0,0.0,127.0,196.0,53.0,120.0,2110.0,409.0,249.0,429.0,0.0,3374.0,678.0,4052.0,4052.0,road,['Z2063'],R202,,23.7885552,90.5393886
5911,,KALADI BOX CULVERT,,,4.97,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7906864937282,90.5206804909407
5912,,KALADI BOX CULVERT,,,5.265,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7887268622478,90.5198039086455
