,Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon
1,N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0,0.0,LRPS,822,0.822,0.822,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,21537.0,road,['Z1101'],N1,,23.7060278,90.443333
3,N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.822,LRPS,4175,4.175,3.353,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,19357.0,road,"['Z1101', 'R111']",N1,,23.7027778,90.4504722
4,,.,,,1.8,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.69873866,90.4588610799999
6,N1-3R,Signboard - Shimrail (Left)R110 (Right),LRPS,4175,4.175,LRPS,7181,7.181,3.006,85.0,2544.0,2053.0,2412.0,1688.0,1564.0,298.0,1609.0,2157.0,1035.0,72.0,1140.0,0.0,15445.0,1212.0,16657.0,16657.0,road,['R110'],N1,,23.6938052,90.4805271
7,,.,,,4.925,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6946638363636,90.4877749181818
9,N1-4R,Shimrail - Katchpur (Left)N2 (Right),LRPS,7181,7.181,LRP009,260,8.763,1.582,153.0,2955.0,1566.0,2438.0,1456.0,1299.0,345.0,1948.0,2693.0,1143.0,517.0,1531.0,0.0,15996.0,2048.0,18044.0,18044.0,road,['N2'],N1,,23.6979163,90.5092778
11,N1-5R,Katchpur - Madanpur (Left)N105 (Right),LRP009,260,8.763,LRP012,439,11.936,3.173,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,road,['N105'],N1,,23.7060833,90.5215271
12,,Kanch pur Bridge.,,,8.976,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.7050598925675,90.5232141463513
13,,KANCHPUR PC GIRDER BRIDGE,,,8.976,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.7050598925675,90.5232141463513
14,,KATCHPUR BOX CULVERT,,,10.543,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6964000869109,90.5350989801047
15,,NOYAPARA CULVERT,,,10.88,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6943906141361,90.5375740774869
16,,ADUPUR CULVERT,,,10.897,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6943023869158,90.5377073719626
17,,NAYABARI KASPUR BOX CULVERT,,,11.296,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6923601518691,90.5409183897196
18,,NAYABARI BOX CULVERT,,,11.808,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6909119315151,90.5454624957575
20,N1-6R,Madanpur - Langalband (Left)Z1061 (Right),LRP012,439,11.936,LRP013,3411,15.935,3.999,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,road,['Z1061'],N1,,23.6904163,90.546583
21,,KHAS PARA BOX CULVERT,,,12.239,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6884123260204,90.5485585290816
22,,DAWAN BAG BOX CULVERT,,,12.253,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6883197331632,90.548649807653
23,,Madanpur Bridge.(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081
24,,MADAN PUR (R),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081
25,,MADANPUR BRIDGE(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081
26,,Madanpur Bridge(R),,,12.688,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6853619779342,90.5513591765258
27,,KAWTALA BOX CULVERT,,,13.574,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6778035,90.5558194349999
28,,MALIBAG BOX CULVERT,,,15.465,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6633090696149,90.563856994797
30,N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,3411,15.935,LRP013,7520,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,road,['Z1089'],N1,,23.6604167,90.5671104
31,,Langalbandh Bridge.,,,17.134,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6544257051136,90.576730225
32,,LANGOLBANDO PC GIDER BRIDGE,,,17.134,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6544257051136,90.576730225
33,,Darikandi Bridge (R),,,17.222,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.65397226,90.57741042
34,,Darikandi Bridge (L),,,17.222,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.65397226,90.57741042
35,,DARIKANDI BRIDGE (R),,,17.722,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6515705663716,90.5814943946902
36,,DARIKANDI BRIDGE (L),,,17.722,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6515705663716,90.5814943946902
37,,Sonakhal Bridge(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6497543993548,90.5845490085483
38,,SONARKALI BRIDGE(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483
39,,Sonakhal Bridge(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483
40,,SONARKALI BRIDGE(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483
41,,MOLLIK PARA BRIDGE (R),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6459685949152,90.5892119813559
42,,MOLLIK PARA P.C(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559
43,,Mollik para Bridge(R),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559
44,,Mollik para Bridge(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559
45,,KRIBORDI BOX CULVERT,,,19.76,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6379543715384,90.5936673976923
47,N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),LRP013,7520,20.044,LRP022,1935,23.564,3.520,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1089'],N1,,23.6358608,90.5948052
48,,SHADIPUR BOX CULVERT,,,20.397,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.63380522,90.597394085
49,,Marikhali Bridge(L),,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077
50,,Marikhali Bridge(R),,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077
51,,MARIKHALL BRIDGE,,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077
52,,SANGAKADI CULVERT,,,22.328,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6198832229508,90.6083528852459
53,,ASHIR CHAR (Right),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6176407964705,90.6095506105882
54,,ASHIR CHAR ( Left),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882
55,,Ashariarchar Bridge(L),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882
56,,Ashariarchar Bridge(R),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882
57,,Asharirchar-2 Bridge.(R),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497
58,,Ashariachar-2 Bridge.(L),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497
59,,ASHARIR CHAR (L),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497
60,,ASHIR CHAR (R),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.613587384385,90.6109029561497
62,N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),LRP022,1935,23.564,LRP031,162,30.936,7.372,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,road,['z1063'],N1,,23.6095556,90.6121944
63,,Meghna Bridge,,,24.393,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6027595885583,90.6155316965675
64,,MEGHNA BRIDGE,,,24.393,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6027595885583,90.6155316965675
65,,TATULTALA CULVERT,,,26.115,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5929818827893,90.6279699370919
66,,BAILAKANDI CULVERT,,,26.452,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5908088547468,90.6302368598101
67,,MALUAKANDI CULVEDRT,,,27.12,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.58631812254,90.6345094207093
68,,Bhater char Bridge (L),,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939
69,,Bhater char Bridge (R),,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939
70,,BHATIR CHAR BRIDGE,,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939
71,,Anarpara Bridge (L),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842
72,,Anarpara Bridge (R),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842
73,,ANARPUR BRIDGE(R),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842
74,,ANAR PURA BRIDGE(L),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842
75,,VITIKANDA - ANAR PUR CULVERT,,,29.842,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5660033956521,90.6486237247282
76,,Alipur bridge(R),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703
77,,Alipur bridge(L),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703
78,,ALI PURA P.C BRIDGE (RIGHT),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703
79,,ALIPURA BRIDGE (LEFT),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5591910296296,90.6557475703703
81,N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),LRP031,162,30.936,LRP033,3664,36.271,5.335,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1063'],N1,,23.5590278,90.6559444
82,,Bhaber char Bridge(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569
83,,Bhaber char Bridge(L),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569
84,,VOBAR CHAR (L),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569
85,,VOBAR CHAR BRIDGE(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569
86,,Baushia Bridge(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577
87,,Baushia Bridge(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577
88,,BOBARCHAR BRIDGE(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577
89,,BOBAIRCHAR BRIDGE(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577
90,,PURRANBUICHE BOX CULVERT,,,32.777,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5477377446428,90.6690554098214
91,,NOYAPARA,,,32.796,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5476246437499,90.669192065625
92,,Madhya Baushia Bridge(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125
93,,MADHAYA BAUSHIA BRIDGE(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125
94,,MADHAYA BAUSHIA(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125
95,,Madhya Baushia Bridge(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125
96,,BOCTAR KANDI BOX CULVERT,,,34.111,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5393910168,90.6784577888
97,,.,,,35.181,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5327751898617,90.6858701078341
98,,Baushia bazar Bridge( L ),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5313996605222,90.68744892596
99,,Baushia bazar Bridge ( R ),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5313996605222,90.68744892596
100,,BORAKANDI BRIDGE(L),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5313996605222,90.68744892596
101,,CHAR BOWSHIA BRIDGE(R),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5313996605222,90.68744892596
102,,CHAR BOUSHEA (2),,,35.707,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5301519626506,90.6897951837349
104,N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),LRP033,3664,36.271,LRP033,5859,38.466,2.195,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1062'],N1,,23.529916,90.6952219
105,,Daudkandi Bridge.,,,37.01,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5303844733,90.7024402743
106,,Daud Kandi Bridge,,,37.01,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5303844733,90.7024402743
108,N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),LRP033,5859,38.466,LRP043,3119,45.388,6.922,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1062', 'Z1053']",N1,,23.5314716,90.7172216
109,,Baldhakhal Bridge,,,39.304,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5324186,90.7242807234
110,,BALDHA KHAL RCC GIDER BRIDGE,,,39.304,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5324186,90.7242807234
111,,MAIS PARA BOX CULVERT,,,39.86,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5317587831999,90.7291780095
112,,SHAHID NAGIR,,,42.936,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5298050611,90.75825325
113,,Shahid Nagor Bridge,,,42.936,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5298050611,90.75825325
114,,SARKAR BARI CULVERT,,,45.164,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5307655282208,90.7800797251533
116,N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,3119,45.388,LRP043,4955,47.224,1.836,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1053', 'Z1044']",N1,,23.530666,90.7821938
117,,AMIRABATH SLAB CULVERT,,,46.871,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5308683409424,90.7918075171727
119,N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,4955,47.224,LRP043,13208,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,road,"['Z1044', 'Z1042']",N1,,23.5306938,90.7924441
120,,Ginlatoly bridge,,,48.384,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5318234765,90.8110155135
121,,Ginlatoly,,,48.384,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5318234765,90.8110155135
122,,RAIPUR BOX CULVERT,,,50.558,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5329743291,90.8309774761999
123,,AITAL BANGA BOX CULVERT,,,52.313,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5229166652,90.8442186132
125,N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,13208,55.477,LRP043,20009,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1042', 'Z1017']",N1,,23.5126667,90.871416
126,,Illiot bazar Bridge,,,56.006,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.510087758207,90.8757204035353
127,,ILLIOT BAZER,,,56.006,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.510087758207,90.8757204035353
128,,KHAT GHOR BOX CULVERT,,,58.838,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5060024341,90.9021745389
129,,BAKRA BOX CULVERT,,,60.83,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5056131416,90.9214660218
131,N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),LRP043,20009,62.278,LRP067,3912,69.638,7.360,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1017', 'Z1022']",N1,,23.5043333,90.9354719
132,,MATIA BAZER,,,63.098,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5024077848,90.9432418928
133,,SONAPUR BOX CULVERT,,,63.538,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5013551924,90.9473844088999
134,,KARON KHAL SLAB CULVERT,,,66.178,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.495896314,90.9715772516
135,,MILL GHAT BOX CULVERT,,,68.04,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.4932728146,90.9887200416
137,N1-17R,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Right),LRP067,3912,69.638,LRP076,1760,75.589,5.951,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,road,"['Z1022', 'Z1219', 'Z1028']",N1,,23.4893886,91.0034722
138,,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,,,71.156,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4868805937254,91.017566692647
139,,Chandinan-Shahapara Bridge.,,,71.156,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4868805937254,91.017566692647
140,,CORI PAI BOX CULVERT,,,74.279,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.4817873233065,91.0463348850746
141,,COREPAI BOX CULVERT,,,75.312,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.4817498298684,91.0563549686842
143,N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),LRP076,1760,75.589,LRP076,8017,81.846,6.257,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,road,"['Z1219', 'Z1028', 'N102']",N1,,23.4815271,91.0590278
144,,NIMSHAR SLAB CULVERT,,,76.481,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.480613086,91.0674097692
145,,KABILA DUBARCHAR SLAB CULVERT,,,78.382,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4776722851,91.0847406393
146,,NAZIRA BOX CULVERT,,,80.949,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.4781159049382,91.1070332074074
148,N1-19R,Mainamati N102- Int.with Z1029 (Right),LRP076,8017,81.846,LRP076,12068,85.897,4.051,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,road,"['N102', 'Z1029']",N1,,23.4789716,91.118166
149,,TIPRA BAZAR BOX CULVERT,,,82.437,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.4794083880733,91.1238920825688
150,,AMTOLI SLAB CULVERT,,,82.989,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.479544924,91.129047144
152,N1-20R,Int.with Z1029 - Int.with Z1052 (Right),LRP076,12068,85.897,LRP076,13537,87.366,1.469,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,road,"['Z1029', 'Z1052']",N1,,23.459,91.142333
154,N1-21R,Int.with Z1052 - Changani (Kotbari) (Right),LRP076,13537,87.366,LRP091,897,89.41,2.044,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,road,['Z1052'],N1,,23.4469441,91.1481386
155,,DHANPUR RCC GIDER BRIDGE,,,87.713,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.4436339598272,91.1493668151188
156,,Dhanpur Bridge,,,87.713,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4436339598272,91.1493668151188
158,N1-22R,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),LRP091,897,89.41,LRP093,1090,91.583,2.173,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,road,['R140'],N1,,23.4288882,91.1553889
159,,Paduar Bazar Bridge,,,91.092,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4212487704918,91.1678943372365
160,,PADUAR BAZER RCCGIDER,,,91.092,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.4212487704918,91.1678943372365
162,N1-23R,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),LRP093,1090,91.583,LRP105,3631,105.879,14.296,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,road,"['R140', 'Z1046']",N1,,23.4191382,91.1721938
163,,Mostapur Bridge,,,93.6,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.4119324230158,91.1939029849206
164,,MOSTAPUR RCC GIDER BRIDGE,,,93.6,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.4119324230158,91.1939029849206
165,,RAZAPARA RCC GIDER BRIDGE,,,97.257,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.3976518197887,91.2234221346859
166,,Matigara Bridge,,,97.257,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.3976518197887,91.2234221346859
167,,Suagazi Bridge.,,,100.938,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.3713647755,91.2450175414999
168,,SUAGAZI RCC GIDER BRIDGE,,,100.938,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.3713647755,91.2450175414999
169,,LAL BAG RCC GIDER BRIDGE,,,103.456,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.3521636774381,91.2572910746724
170,,Lalbag Bridge.,,,103.456,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.3521636774381,91.2572910746724
171,,CHANSIRI BOXCUIVERT,,,104.753,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.342671472,91.264485636
173,N1-24R,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),LRP105,3631,105.879,LRP105,17450,119.698,13.819,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,road,"['Z1046', 'Z1045']",N1,,23.3347219,91.271166
174,,MIABAZAR BOX CULVERT,,,106.519,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.3301462324,91.2748792824
175,,NOYA BAZER BOX CULVERT,,,108.125,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.3180696869138,91.2830867321701
176,,DOLL BARI CULVERT,,,109.289,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.3083612731261,91.2865787034735
177,,DHARMA PUR SLAB CULVERT,,,109.897,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.3034306450331,91.2889770397351
178,,LALGORE BEZER CULVERT,,,110.551,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.2979675271676,91.2910141369942
179,,SUPUYA BOX CULVERT,,,111.509,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.2897066386454,91.2929584711155
180,,BOWCHI BAZAR CULVERT,,,112.469,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.2821949258397,91.2966655096899
181,,AMAN GONG SLAB CULVERT,,,113.717,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.27301895,91.3029661882
182,,RANGAMATIA (1) BOX CULVERT,,,115.052,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.2618360940594,91.3070217386138
183,,RANGOWATIA 2 CULVERT,,,115.326,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.25941665,91.3073611
184,,NOWA PARA BOX CULVERT,,,115.525,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.2576429774881,91.3076156494075
185,,HARISHARDE CULVERT,,,116.074,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.2527463398104,91.3083926405213
186,,SONAGATI BOX CULVERT,,,117.087,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.2443915125925,91.3114032292592
