Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
,.,,,312.85,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6308493444444,89.2694054955555,Bridge,,,
,.,,,313.535,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6371733636363,89.270188990909,Bridge,,,
,.,,,315.419,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6538315803858,89.2727086787781,Bridge,,,
,.,,,316.19,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.660778509424,89.2730706,Bridge,,,
,,,,317.089,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6688297185595,89.2735153662049,Bridge,,,
,.,,,317.089,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.6688297185595,89.2735153662049,Bridge,,,
,,,,320.42,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6975637433673,89.265996357653,Bridge,,,
,.,,,320.42,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.6975637433673,89.265996357653,Bridge,,,
,.,,,320.952,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7020672427385,89.2641208911825,Bridge,,,
N5-49,"Rangpur Modern More, N517 -Rangpur Bus Terminal , Z5025",LRP321,230.0,321.845,LRP323,3445.0,326.75,4.905,74.0,2022.0,694.0,1479.0,342.0,334.0,33.0,211.0,1298.0,2127.0,1195.0,775.0,45.0,8614.0,2015.0,10629.0,10629.0,road,"['N517', 'Z5025']",N5,,25.7095,89.2609444,Intersection,N517,Z5025,
,.,,,322.194,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7106224665987,89.2578467181262,Bridge,,,
,.,,,322.592,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7121085224032,89.2538162183299,Bridge,,,
,.,,,323.458,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7159967495049,89.2467758297029,Bridge,,,
,.,,,324.774,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7262084962686,89.2405575592537,Bridge,,,
,.,,,325.578,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7328720411764,89.2374261352941,Bridge,,,
,.,,,325.98,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7360509249258,89.2359244234421,Bridge,,,
,.,,,326.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7411783914606,89.2336211462921,Bridge,,,
N5-50L,"Rangpur Bus Terminal, Z5025 - Medical Mor, int with N517 (Left)",LRP323,3445.0,326.75,LRP323,5970.0,329.275,2.525,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,road,"['Z5025', 'N517']",N5,,25.7423608,89.2330827,Intersection,Z5025,N517,
N5-50R,"Rangpur Bus Terminal, Z5025 - Medical Mor, int with N517 (Right)",LRP323,3445.0,326.75,LRP323,5970.0,329.275,2.525,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,road,"['Z5025', 'N517']",N5,,25.7423608,89.2330827,Intersection,Z5025,N517,
,.,,,327.562,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7494127239603,89.2310715231683,Bridge,,,
N5-51,"Medical Mor, int with N517-Uttom More (Hazirhat) Z5020",LRP323,5970.0,329.275,LRP334,475.0,335.185,5.91,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,road,"['N517', 'Z5020']",N5,,25.7648333,89.2313327,Intersection,N517,Z5020,
,.,,,330.454,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7735757444444,89.2251481572222,Bridge,,,
,.,,,332.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7846190407,89.2133103106,Bridge,,,
,.,,,334.202,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7956673780904,89.1973495910552,Bridge,,,
,Ghagot Bridge.,,,334.422,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7968097419095,89.1955499689447,Bridge,,,
,.,,,334.422,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7968097419095,89.1955499689447,Bridge,,,
N5-52,Uttom More (Hazirhat)Z5020-Int.with R560,LRP334,475.0,335.185,LRP338,890.0,339.607,4.422,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,road,"['Z5020', 'R560']",N5,,25.8006389,89.1895274,Intersection,Z5020,R560,
,.,,,336.053,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.802745263615,89.1810180488262,Bridge,,,
,.,,,337.025,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8052214805755,89.1718636307913,Bridge,,,
,.,,,339.497,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.810892283146,89.1480852078651,Bridge,,,
N5-53,Int.with R560- Taraganj (Int.with Z5015),LRP338,890.0,339.607,LRP351,2008.0,353.695,14.088,108.0,574.0,558.0,370.0,290.0,327.0,39.0,228.0,1317.0,1570.0,1468.0,1050.0,0.0,5381.0,2518.0,7899.0,7899.0,road,"['R560', 'Z5015']",N5,,25.8111944,89.1470552,Intersection,R560,Z5015,
,.,,,340.442,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.811602757653,89.1386550234693,Bridge,,,
,.,,,340.859,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116389,89.1345519085714,Bridge,,,
,,,,342.005,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116111,89.1229738157894,Bridge,,,
,.,,,342.005,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116111,89.1229738157894,Bridge,,,
,,,,342.366,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116242253869,89.1194276993808,Bridge,,,
,.,,,342.366,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116242253869,89.1194276993808,Bridge,,,
,.,,,343.389,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116261173633,89.1092211768488,Bridge,,,
,.,,,343.683,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8116111,89.1063015016393,Bridge,,,
,.,,,344.802,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8115556,89.0950845654321,Bridge,,,
,.,,,347.626,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8114755916,89.0667749615,Bridge,,,
,Barati Bridge,,,348.448,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8114088087,89.0585777797,Bridge,,,
,.,,,348.448,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8114088087,89.0585777797,Bridge,,,
,,,,351.746,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8112222,89.02564901497,Bridge,,,
,.,,,351.746,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8112222,89.02564901497,Bridge,,,
N5-54,"Taraganj (Int.with Z5015)-Sayedpur , N518",LRP351,2008.0,353.695,LRP362,920.0,363.617,9.922,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,road,"['Z5015', 'N518']",N5,,25.8111111,89.0061111,Intersection,Z5015,N518,
,,,,354.204,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8110826226814,89.0011081738911,Bridge,,,
,.,,,354.204,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.8110826226814,89.0011081738911,Bridge,,,
,.,,,356.854,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8078998272277,88.9754364311881,Bridge,,,
,.,,,357.018,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.8071195282178,88.9740652450495,Bridge,,,
,Chikli Bridge,,,358.013,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.802430048169,88.9657678033802,Bridge,,,
,Chikly Bridge.,,,358.013,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.802430048169,88.9657678033802,Bridge,,,
,.,,,359.217,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.796362972,88.9556499919999,Bridge,,,
,.,,,359.384,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7955769640661,88.954215865721,Bridge,,,
,.,,,360.237,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.791414250894,88.9472097316368,Bridge,,,
,.,,,361.189,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.786787316129,88.9391537516129,Bridge,,,
,.,,,362.057,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7837120521739,88.9312036260869,Bridge,,,
N5-55,"Sayedpur, N518 - WAPDA More (Int.with R570)",LRP362,920.0,363.617,LRP367,498.0,368.325,4.708,108.0,574.0,558.0,370.0,290.0,327.0,39.0,228.0,1317.0,1570.0,1468.0,1050.0,0.0,5381.0,2518.0,7899.0,7899.0,road,"['N518', 'R570']",N5,,25.7808049,88.9161111,Intersection,N518,R570,
,.,,,365.388,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7933110735999,88.9080074677,Bridge,,,
,.,,,365.824,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7967143152,88.9055731489,Bridge,,,
,.,,,366.069,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7984798630911,88.9041459246828,Bridge,,,
,.,,,366.358,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8005355297577,88.9024514913494,Bridge,,,
,.,,,367.3,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8064438676923,88.8960562471794,Bridge,,,
,.,,,367.688,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8070359847715,88.8924369799492,Bridge,,,
N5-56,WAPDA More (Int.with R570)-Sonapukur (Int.with N518),LRP367,498.0,368.325,LRP371,88.0,372.5,4.175,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,road,"['R570', 'N518']",N5,,25.8063889,88.8862497,Intersection,R570,N518,
,.,,,369.9,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7957668050119,88.8794477775656,Bridge,,,
,Khorkhori Bridge,,,370.896,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7869033895145,88.8790684926213,Bridge,,,
,.,,,370.896,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7869033895145,88.8790684926213,Bridge,,,
,.,,,371.751,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7794615408057,88.878429270971,Bridge,,,
N5-57,"Sonapukur (Int.with N518)-Ranirbandar, Z5005",LRP371,88.0,372.5,LRP379,1360.0,381.882,9.382,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,road,"['N518', 'Z5005']",N5,,25.7733882,88.8762771,Intersection,N518,Z5005,
,.,,,373.732,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7708219461538,88.8640807384615,Bridge,,,
,.,,,373.836,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7706830561538,88.8630780284615,Bridge,,,
,.,,,374.067,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7703745600961,88.8608508552884,Bridge,,,
,.,,,374.354,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7699912771153,88.8580837613461,Bridge,,,
,.,,,375.421,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7685551334905,88.8475447797169,Bridge,,,
,Gaudangi Bridge,,,375.421,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7685551334905,88.8475447797169,Bridge,,,
,.,,,376.191,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.767141565942,88.8402065631884,Bridge,,,
,.,,,376.693,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7665556,88.8351919887362,Bridge,,,
,.,,,377.635,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.767218995679,88.8259768777777,Bridge,,,
,.,,,378.46,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7683481133333,88.8176624655555,Bridge,,,
,.,,,378.716,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7686952886666,88.8151689936666,Bridge,,,
,.,,,378.842,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7688586266666,88.8139441266666,Bridge,,,
,.,,,379.45,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7697399979057,88.8078095267015,Bridge,,,
,Ichamoti Bridge,,,379.45,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,D,25.7697399979057,88.8078095267015,Bridge,,,
,.,,,379.711,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7702303245454,88.8053612579545,Bridge,,,
,.,,,380.143,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7712961457142,88.8013667771428,Bridge,,,
,.,,,381.488,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.7739965244604,88.7883313942446,Bridge,,,
,.,,,381.84,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7743460716666,88.7848524333333,Bridge,,,
N5-58,"Ranirbandar, Z5005 -Beldanga, N508",LRP379,1360.0,381.882,LRP391,1980.0,394.462,12.58,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,road,"['Z5005', 'N508']",N5,,25.7743882,88.7844441,Intersection,Z5005,N508,
,.,,,382.302,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7740734,88.7803142333333,Bridge,,,
,.,,,382.615,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7737694155597,88.7773046512334,Bridge,,,
,.,,,382.689,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7736641024667,88.776625971537,Bridge,,,
,.,,,383.144,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7731213990825,88.7722921467889,Bridge,,,
,.,,,383.605,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7734572057636,88.7674624037464,Bridge,,,
,.,,,383.925,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.77378826,88.76478054,Bridge,,,
,.,,,384.932,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7735652128035,88.7546274885209,Bridge,,,
,.,,,385.615,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7734413552127,88.7479034720212,Bridge,,,
,Atrai Bridge,,,385.951,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7730740071276,88.7450041852127,Bridge,,,
,Atrai Bridge.,,,385.951,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7730740071276,88.7450041852127,Bridge,,,
,Atrai Bridge.,,,385.951,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7730740071276,88.7450041852127,Bridge,,,
,.,,,387.761,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.770038742,88.7311856,Bridge,,,
,,,,387.761,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.770038742,88.7311856,Bridge,,,
,.,,,388.825,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7619433359999,88.726205472,Bridge,,,
,.,,,389.743,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7562194948314,88.7189732594382,Bridge,,,
,Gabura Bridge,,,389.743,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.7562194948314,88.7189732594382,Bridge,,,
,.,,,391.313,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.7527562779661,88.7041152242937,Bridge,,,
,,,,391.313,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,D,25.7527562779661,88.7041152242937,Bridge,,,
,.,,,392.186,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.753455972,88.6961048752,Bridge,,,
N5-59,"Beldanga, N508 -Birganj (Int.with Z5007)",LRP391,1980.0,394.462,LRP403,1940.0,406.432,11.97,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,road,"['N508', 'Z5007']",N5,,25.7565,88.6738049,Intersection,N508,Z5007,
,.,,,395.396,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7651823454,88.6737216,Bridge,,,
,.,,,396.343,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7728419163157,88.6724879229473,Bridge,,,
,.,,,397.521,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7839399393835,88.6749266325342,Bridge,,,
,Depa Bridge,,,399.365,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.7991268873913,88.6772818452174,Bridge,,,
,Dipa Bridge,,,399.365,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.7991268873913,88.6772818452174,Bridge,,,
,.,,,399.816,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8032380882,88.6767778706,Bridge,,,
,.,,,402.282,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8198537462365,88.6657041204301,Bridge,,,
,.,,,406.209,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.8527107912765,88.6553144603191,Bridge,,,
N5-60,Birganj (Int.with Z5007) - Birganj (Int.with Z5008),LRP403,1940.0,406.432,LRP405,640.0,407.222,0.79,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,road,"['Z5007', 'Z5008']",N5,,25.8546944,88.6552222,Intersection,Z5007,Z5008,
N5-61,Birganj (Int.with Z5008)-Thakurgaon (Int.with R587),LRP405,640.0,407.222,LRP431,3370.0,436.057,28.835,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,road,"['Z5008', 'R587']",N5,,25.8623056,88.6543056,Intersection,Z5008,R587,
,.,,,410.976,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.8849868452,88.6279185552,Bridge,,,
,.,,,412.847,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.896190197856,88.6142872957121,Bridge,,,
,.,,,414.004,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9021897347058,88.6053721999999,Bridge,,,
,.,,,414.501,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9043013512745,88.6012305333333,Bridge,,,
,.,,,414.812,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9048464352941,88.5981864568627,Bridge,,,
,,,,416.345,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9081123872047,88.5835863350393,Bridge,,,
,.,,,416.345,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9081123872047,88.5835863350393,Bridge,,,
,.,,,418.135,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9108870533156,88.5663212342175,Bridge,,,
,.,,,419.473,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9149102,88.5568997994,Bridge,,,
,.,,,421.471,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9312439481561,88.5506315201735,Bridge,,,
,.,,,422.506,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9394679401,88.5457826911999,Bridge,,,
,.,,,424.072,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9511429975,88.53776313,Bridge,,,
,.,,,425.597,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.961259998,88.52735819,Bridge,,,
,.,,,426.161,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9646749616,88.523378888,Bridge,,,
,.,,,426.863,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,25.9692593492,88.5187438732,Bridge,,,
,.,,,430.036,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,25.9909807355555,88.4985320302777,Bridge,,,
,.,,,431.16,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,25.9986437913,88.4925648,Bridge,,,
,.,,,432.443,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0074489955555,88.4846124881481,Bridge,,,
,,,,432.443,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,26.0074489955555,88.4846124881481,Bridge,,,
,.,,,433.706,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0151708995,88.4750755782,Bridge,,,
,.,,,434.429,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.018504291,88.4705769276,Bridge,,,
,.,,,435.617,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0257640779411,88.4754793573529,Bridge,,,
N5-62,Thakurgaon (Int.with R587)- Boda int. with Z5003,LRP431,3370.0,436.057,LRP453,2125.0,456.937,20.88,181.0,346.0,418.0,134.0,246.0,120.0,90.0,107.0,1476.0,2341.0,2111.0,2027.0,0.0,5459.0,4138.0,9597.0,9597.0,road,"['R587', 'Z5003']",N5,,26.0285549,88.4784993,Intersection,R587,Z5003,
,.,,,437.19,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0358779843,88.4867452511,Bridge,,,
,.,,,438.031,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0405857752475,88.4931858831683,Bridge,,,
,.,,,440.291,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0560468526717,88.50706727465641,Bridge,,,
,.,,,440.427,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0571047871428,88.5076975857142,Bridge,,,
,.,,,440.44,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.057210024,88.5077533,Bridge,,,
,.,,,442.887,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0782924421348,88.5142692702247,Bridge,,,
,.,,,443.053,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,B,26.0797328185393,88.5148494308988,Bridge,,,
,.,,,443.806,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0861808388235,88.51756701,Bridge,,,
,.,,,444.372,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0906663333333,88.5199715666666,Bridge,,,
,.,,,444.544,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.0920294164705,88.52070228,Bridge,,,
,.,,,445.739,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1017667757763,88.5259167012422,Bridge,,,
,,,,446.179,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1052081587991,88.527738647412,Bridge,,,
,.,,,446.179,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1052081587991,88.527738647412,Bridge,,,
,.,,,446.605,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1087910703984,88.5291880081594,Bridge,,,
,.,,,448.198,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1225996734693,88.533424907483,Bridge,,,
,.,,,449.332,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.132565085,88.53611494375,Bridge,,,
,.,,,449.467,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1337792074999,88.536358703125,Bridge,,,
,.,,,450.79,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1452532652,88.5374152432,Bridge,,,
,.,,,450.807,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1454072155,88.537448298,Bridge,,,
,.,,,451.259,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1495004823,88.5383271668,Bridge,,,
,.,,,451.871,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1548157969999,88.539476321,Bridge,,,
,.,,,453.198,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1662970657534,88.5422314260273,Bridge,,,
,.,,,454.112,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1740011377049,88.5448197721311,Bridge,,,
,.,,,454.302,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1756536704918,88.5453735131147,Bridge,,,
,,,,454.302,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,C,26.1756536704918,88.5453735131147,Bridge,,,
,.,,,455.276,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1840166785263,88.5481625797894,Bridge,,,
,.,,,455.619,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1869453208421,88.5491454372631,Bridge,,,
N5-63,Boda (int.with Z5003)-Panchgarh Sugar Mill (int. with Z5021),LRP453,2125.0,456.937,LRP469,70.0,470.992,14.055,181.0,346.0,418.0,134.0,246.0,120.0,90.0,107.0,1476.0,2341.0,2111.0,2027.0,0.0,5459.0,4138.0,9597.0,9597.0,road,"['Z5003', 'Z5021']",N5,,26.1976108,88.5540833,Intersection,Z5003,Z5021,
,.,,,456.939,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.1976280706285,88.5540841889142,Bridge,,,
,.,,,457.969,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2063434127027,88.5544794881081,Bridge,,,
,.,,,458.735,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2131352243333,88.5550021205,Bridge,,,
,.,,,459.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2166691271739,88.555368048913,Bridge,,,
,.,,,462.211,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2439084124271,88.5588238007767,Bridge,,,
,.,,,463.44,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2547785272,88.5581247048,Bridge,,,
,.,,,464.482,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.264054586,88.5572642,Bridge,,,
,.,,,465.132,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2697240582809,88.5576147576519,Bridge,,,
,.,,,465.925,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2767858282467,88.5590725902597,Bridge,,,
,.,,,467.956,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2946322898734,88.5581987341772,Bridge,,,
,.,,,468.15,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.2964059164556,88.558014556962,Bridge,,,
,.,,,468.971,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.3036306304,88.5568803,Bridge,,,
,Korotoa Bridge,,,469.334,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.3068270632,88.5559728,Bridge,,,
,Karotoa Bridge,,,469.334,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.3068270632,88.5559728,Bridge,,,
,.,,,470.985,,,,,,,,,,,,,,,,,,,,,,bridge,,N5,A,26.3212403216216,88.5535728,Bridge,,,
