Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
,Madanpur Bridge.(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081,Bridge,,,
,MADAN PUR (R),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081,Bridge,,,
,MADANPUR BRIDGE(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.685583027027,90.551207981081,Bridge,,,
,Madanpur Bridge(R),,,12.688,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6853619779342,90.5513591765258,Bridge,,,
,KAWTALA BOX CULVERT,,,13.574,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6778035,90.5558194349999,Bridge,,,
,MALIBAG BOX CULVERT,,,15.465,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6633090696149,90.563856994797,Bridge,,,
N1-7L,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411.0,15.935,LRP013,7520.0,20.044,4.109,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,road,['Z1089'],N1,,23.6604167,90.5671104,Intersection,Z1089,,
N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,3411.0,15.935,LRP013,7520.0,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,road,['Z1089'],N1,,23.6604167,90.5671104,Intersection,Z1089,,
,Langalbandh Bridge.,,,17.134,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6544257051136,90.576730225,Bridge,,,
,LANGOLBANDO PC GIDER BRIDGE,,,17.134,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6544257051136,90.576730225,Bridge,,,
,Darikandi Bridge (R),,,17.222,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.65397226,90.57741042,Bridge,,,
,Darikandi Bridge (L),,,17.222,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.65397226,90.57741042,Bridge,,,
,DARIKANDI BRIDGE (R),,,17.722,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6515705663716,90.5814943946902,Bridge,,,
,DARIKANDI BRIDGE (L),,,17.722,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6515705663716,90.5814943946902,Bridge,,,
,Sonakhal Bridge(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6497543993548,90.5845490085483,Bridge,,,
,SONARKALI BRIDGE(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483,Bridge,,,
,Sonakhal Bridge(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483,Bridge,,,
,SONARKALI BRIDGE(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6497543993548,90.5845490085483,Bridge,,,
,MOLLIK PARA BRIDGE (R),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6459685949152,90.5892119813559,Bridge,,,
,MOLLIK PARA P.C(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559,Bridge,,,
,Mollik para Bridge(R),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559,Bridge,,,
,Mollik para Bridge(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6459685949152,90.5892119813559,Bridge,,,
,KRIBORDI BOX CULVERT,,,19.76,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6379543715384,90.5936673976923,Bridge,,,
N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520.0,20.044,LRP022,1935.0,23.564,3.52,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,road,['Z1089'],N1,,23.6358608,90.5948052,Intersection,Z1089,,
N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),LRP013,7520.0,20.044,LRP022,1935.0,23.564,3.52,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1089'],N1,,23.6358608,90.5948052,Intersection,Z1089,,
,SHADIPUR BOX CULVERT,,,20.397,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.63380522,90.597394085,Bridge,,,
,Marikhali Bridge(L),,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077,Bridge,,,
,Marikhali Bridge(R),,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077,Bridge,,,
,MARIKHALL BRIDGE,,,21.184,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6284668507692,90.6023015723077,Bridge,,,
,SANGAKADI CULVERT,,,22.328,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6198832229508,90.6083528852459,Bridge,,,
,ASHIR CHAR (Right),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6176407964705,90.6095506105882,Bridge,,,
,ASHIR CHAR ( Left),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882,Bridge,,,
,Ashariarchar Bridge(L),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882,Bridge,,,
